collection,quarter_start,quarter_end,training_transactions,validation_transactions,metadata_rmse_reproduced,metadata_checkpoint_rmse,training_source_rows_sha256,validation_source_rows_sha256
BAYC,2024-04-01,2024-07-01,29019,3643,0.17788059604429043,0.17788059604429043,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d
BAYC,2024-07-01,2024-10-01,32662,1150,3.1740301307795513,3.1740301307795513,62211f883d58c592e36128d5845b4f9c92a3cc5df7a29c93d5253fed5f354fc5,3f21bc9aa919a6d8ea13eb0604dc0bb88fe7affc0c5c1d9e90e1c7113a3c5b44
BAYC,2024-10-01,2025-01-01,33812,1394,0.3208759489981063,0.3208759489981063,3d3ad64d2add71848144ba16812e9b434ed81558014d00b266df24eb610b523c,ab1e410da0d8ab326d934e5105766786906864ee4f1afc6a7790a38146ede52f
MAYC,2024-04-01,2024-07-01,78986,10092,0.21997373862027794,0.21997373862027794,424cf5fdbc8059afa0385892e69a8fdc117e498ad2c2894c9268d72ce691bbd1,cc4a9cfb555557792e9e69fa7b1c46abc6faf9810c0f00c335f4458b4677451a
MAYC,2024-07-01,2024-10-01,89078,2495,0.1927809540897229,0.1927809540897229,51aabe7205c46b710ff1622e630a4b1ae554f4fd34aa424b74b1f2d3bd205d5c,ac7b8b5ec9ab9aaae32b960aeff2292bd49412da8cacc7b64285bd2103e6dce2
MAYC,2024-10-01,2025-01-01,91573,3634,0.7492287716726157,0.7492287716726157,ca2b3e8ab8522cd56c8d3dc01f69d1cd769b3d3fa118412ac26dc0c6a6c7d1d0,25d46bc95104001e5c45d970a72523d9815b3c90139a2bcdf999b78af251ae22
