collection,analysis,n_transactions,n_tokens,metadata_rmse,residual_corrected_rmse,delta_rmse,token_bootstrap_ci95_low,token_bootstrap_ci95_high,replicates
BAYC,all_oof_residuals_all_evaluation,5120,1498,0.2527552294447844,0.2527552294447844,0.0,0.0,0.0,2000
BAYC,strict_oof_residuals_strict_evaluation,4765,1489,0.25746551300512605,0.25829800942907055,0.0008324964239445065,-0.00026394155297854665,0.001974291351830578,2000
BAYC,strict_no_onewei_oof_residuals_strict_evaluation,4765,1489,0.25746551300512605,0.25829800942907055,0.0008324964239445065,-0.00026394155297854665,0.001974291351830578,2000
MAYC,all_oof_residuals_all_evaluation,13019,2492,0.16747925531384955,0.1755689454201946,0.008089690106345054,0.0067393934755990755,0.009495733751271314,2000
MAYC,strict_oof_residuals_strict_evaluation,11288,2461,0.16401371930495026,0.17245032779856995,0.008436608493619685,0.006931745960532758,0.010148125260400775,2000
MAYC,strict_no_onewei_oof_residuals_strict_evaluation,11288,2461,0.16401371930495026,0.1732236731544493,0.009209953849499047,0.007450007015090283,0.011104980372438743,2000
