collection,encoder,metadata_family,image_family,metadata_config,image_config,image_weight,validation_n,pre2025_validation_transaction_rmse,pre2025_validation_transaction_mse,overall_selected_pre2025,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd
BAYC,DINOv2,Ridge,OLS,"{""alpha"": 1000}",{},0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,DINOv2,Ridge,Ridge,"{""alpha"": 1000}","{""alpha"": 100}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,DINOv2,Ridge,ElasticNet,"{""alpha"": 1000}","{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,DINOv2,Ridge,PLS,"{""alpha"": 1000}","{""components"": 32}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,DINOv2,Ridge,LinearSVR,"{""alpha"": 1000}","{""C"": 0.01, ""epsilon"": 0.1}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,DINOv2,Ridge,HistGradientBoosting,"{""alpha"": 1000}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.1,6187,1.3835985542544325,1.9143449593349555,False,0.25321355631978376,0.10691228783887874,0.14437197154760828,0.2737439007579036,5120,1498,0.26764744423648434,0.1215445452191932,0.29811899111468587,0.3194709364844748
BAYC,DINOv2,Ridge,XGBoost,"{""alpha"": 1000}","{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",0.1,6187,1.3836094740918894,1.9143751767968349,False,0.2533485745248083,0.10700109426276679,0.14345925453204622,0.2737439007579036,5120,1498,0.26810677931306903,0.12180781992789441,0.2957077951683408,0.3194709364844748
BAYC,DINOv2,Ridge,LightGBM,"{""alpha"": 1000}","{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.1,6187,1.383600344889997,1.9143499143797187,False,0.25329402298949477,0.10696264884427079,0.1438280790441563,0.2737439007579036,5120,1498,0.26776384158461913,0.12163686227407036,0.297508375511612,0.3194709364844748
BAYC,CLIP,Ridge,OLS,"{""alpha"": 1000}",{},0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
BAYC,CLIP,Ridge,Ridge,"{""alpha"": 1000}","{""alpha"": 100}",0.0,6187,1.38362094005977,1.9144069057718818,False,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748
