collection,encoder,family,encoder_learner_selected_pre2025,overall_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
BAYC,DINOv2,OLS,False,False,{},1.387676331102934,5120,1498,0.27906204691887215,0.12759926911512234,0.23697487052426047,0.3194709364844748,0.2588856495398795,0.11241295905680704,0.10560975895459557,0.2737439007579036
BAYC,DINOv2,Ridge,False,False,"{""alpha"": 10000}",1.3842925351149185,5120,1498,0.28245559805697035,0.12601777822581117,0.21830440716310007,0.3194709364844748,0.25803231427389145,0.10851890276644964,0.11149619481316564,0.2737439007579036
BAYC,DINOv2,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3836791732690015,5120,1498,0.27042916170559844,0.12272546648837837,0.2834535740321086,0.3194709364844748,0.2540555832880539,0.10726713709727234,0.13867196256032321,0.2737439007579036
BAYC,DINOv2,PLS,False,False,"{""components"": 8}",1.3844097929802526,5120,1498,0.27890171798799684,0.12470017210264178,0.23785137710875748,0.3194709364844748,0.25704792387097697,0.10845042774065057,0.1182625276313981,0.2737439007579036
BAYC,DINOv2,LinearSVR,False,False,"{""C"": 0.01, ""epsilon"": 0.2}",1.3863939024079168,5120,1498,0.277165155904425,0.12667405193016018,0.24731276022678716,0.3194709364844748,0.25760208840088256,0.11117083152850174,0.11445658875566089,0.2737439007579036
BAYC,DINOv2,HistGradientBoosting,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3860598863018887,5120,1498,0.29752862421082393,0.12713718697172358,0.13264916991246734,0.3194709364844748,0.26335145751398514,0.10924659153043959,0.07448694412883583,0.2737439007579036
BAYC,DINOv2,XGBoost,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3857136726548556,5120,1498,0.27538946873020914,0.12391279717155802,0.2569262034617794,0.3194709364844748,0.25605864757796665,0.10837492826532799,0.12503638855154808,0.2737439007579036
BAYC,DINOv2,LightGBM,False,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3862563320328436,5120,1498,0.30035651172252403,0.13099933012926412,0.1160831882274258,0.3194709364844748,0.26680192133375136,0.11338050807284523,0.05007568906286264,0.2737439007579036
BAYC,CLIP,OLS,False,False,{},1.3859956902925124,5120,1498,0.2718925350657238,0.12395459168450629,0.275677696450623,0.3194709364844748,0.2553099447765895,0.10909781208660743,0.13014560857734658,0.2737439007579036
BAYC,CLIP,Ridge,False,False,"{""alpha"": 10000}",1.3844126105220989,5120,1498,0.2809944340570388,0.12581038164648542,0.2263710283344207,0.3194709364844748,0.257452119169814,0.10841538263092394,0.11548736927217984,0.2737439007579036
BAYC,CLIP,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3837881895613353,5120,1498,0.2698577686859243,0.12259160937631967,0.28647837416170163,0.3194709364844748,0.25379001942506757,0.10714521316293298,0.14047171085518217,0.2737439007579036
BAYC,CLIP,PLS,False,False,"{""components"": 8}",1.384000948988104,5120,1498,0.2650969312966576,0.12147105636106192,0.31143222908306,0.3194709364844748,0.252152131122897,0.10743717935605442,0.15153021132126832,0.2737439007579036
BAYC,CLIP,LinearSVR,False,False,"{""C"": 0.01, ""epsilon"": 0.2}",1.3858849978203942,5120,1498,0.2757457003301903,0.12470656679284912,0.2550025454884136,0.3194709364844748,0.2563728177200609,0.1091469350977992,0.12288800511856346,0.2737439007579036
BAYC,CLIP,HistGradientBoosting,False,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.385993327062388,5120,1498,0.2948471110455964,0.12694734143576894,0.1482129284592163,0.3194709364844748,0.26279566964442114,0.10935327963054897,0.07838930442356051,0.2737439007579036
BAYC,CLIP,XGBoost,False,False,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.385989364445842,5120,1498,0.2758549564834332,0.12506340199379012,0.2544120617110772,0.3194709364844748,0.25633740606669386,0.10855869846351207,0.1231302916535646,0.2737439007579036
