collection,training_cohort,evaluation_cohort,n_transactions,n_tokens,metadata_rmse,early_rmse,early_minus_metadata_rmse,paired_token_ci95_low,paired_token_ci95_high,bootstrap_replicates
BAYC,full,strict_clean_flag,4765,1489,0.25746551300512605,0.2572296252439982,-0.00023588776112787313,-0.000986729082547691,0.00042121397443039963,2000
BAYC,strict,strict_clean_flag,4765,1489,0.2571379114948523,0.2570240949494345,-0.00011381654541781083,-0.0008484637186526373,0.0005757432208621415,2000
BAYC,strict_without_one_wei,strict_clean_flag,4765,1489,0.2571251094393461,0.25699022495455337,-0.00013488448479270776,-0.0008533444536500074,0.0005428267136518684,2000
MAYC,full,strict_clean_flag,11288,2461,0.16401371930495026,0.16207268741408198,-0.0019410318908682778,-0.00375378300108002,-0.0003571096453342224,2000
MAYC,strict,strict_clean_flag,11288,2461,0.1638156628664026,0.1624435235723394,-0.001372139294063185,-0.004138480005143536,0.0016170854620932223,2000
MAYC,strict_without_one_wei,strict_clean_flag,11288,2461,0.16342724046431895,0.16243861561855216,-0.0009886248457667834,-0.003951880353969609,0.002303703347963321,2000
