collection,encoder,family,training_equal_token_n_transactions,training_equal_token_n_tokens,training_equal_token_rmse,training_equal_token_mae,training_equal_token_r2,training_equal_token_target_sd,training_transaction_rmse,training_transaction_mae,training_transaction_r2,training_transaction_target_sd
BAYC,DINOv2,OLS,35206,5746,0.8613235926289383,0.16862404319570884,0.03642882315048612,0.877454171372585,0.7692458741839255,0.11502248457800472,0.013691741402533375,0.7745667336219183
BAYC,DINOv2,Ridge,35206,5746,0.8614814919599408,0.1691122363244303,0.036075503697848066,0.877454171372585,0.7692904442213359,0.11525481933910126,0.013577444866217925,0.7745667336219183
BAYC,DINOv2,ElasticNet,35206,5746,0.8728882962388856,0.18495069231319927,0.010380019621431869,0.877454171372585,0.7726311885304861,0.12114291323269774,0.004991504709262018,0.7745667336219183
BAYC,DINOv2,PLS,35206,5746,0.8626319237204156,0.17089983044594217,0.03349931418300156,0.877454171372585,0.7696709827366857,0.11631208336939047,0.012601312591398295,0.7745667336219183
BAYC,DINOv2,LinearSVR,35206,5746,0.8611453922966708,0.16900163133686136,0.036827490835503296,0.877454171372585,0.7691513474726789,0.11548757238335514,0.013934126186848528,0.7745667336219183
BAYC,DINOv2,HistGradientBoosting,35206,5746,0.854252804417882,0.1466930671451484,0.05218420763461473,0.877454171372585,0.765285444473255,0.10401406088292768,0.023821530064196628,0.7745667336219183
BAYC,DINOv2,XGBoost,35206,5746,0.861426897197488,0.16308298075878397,0.036197673615314785,0.877454171372585,0.7677309477100785,0.10999762802842089,0.017572719499501788,0.7745667336219183
BAYC,DINOv2,LightGBM,35206,5746,0.8568083499077674,0.15213794082223298,0.04650483634191416,0.877454171372585,0.7659521884632252,0.10551690919590621,0.0221198260545582,0.7745667336219183
BAYC,CLIP,OLS,35206,5746,0.8648309835227838,0.17331801495277385,0.028565339861561845,0.877454171372585,0.7701328389991898,0.11694243725680546,0.011415940908222622,0.7745667336219183
BAYC,CLIP,Ridge,35206,5746,0.8656431988221701,0.17451885325480798,0.02673981646130208,0.877454171372585,0.7704148434636865,0.11748670486418665,0.010691816065498294,0.7745667336219183
BAYC,CLIP,ElasticNet,35206,5746,0.8664144423806788,0.17574434209707693,0.025004794386340734,0.877454171372585,0.770648211283032,0.11789479234952664,0.01009237885956471,0.7745667336219183
BAYC,CLIP,PLS,35206,5746,0.8655105700313959,0.1745504273121711,0.027038028086617705,0.877454171372585,0.7703673039401043,0.11758988745983405,0.010813905584087236,0.7745667336219183
BAYC,CLIP,LinearSVR,35206,5746,0.8648046720761646,0.17397630722211968,0.028624448433935523,0.877454171372585,0.7700753460361848,0.11764339286693218,0.01156353753659023,0.7745667336219183
BAYC,CLIP,HistGradientBoosting,35206,5746,0.855825858601051,0.1506869760962642,0.04869030430712229,0.877454171372585,0.7656980922072409,0.10522714886501447,0.02276852052974132,0.7745667336219183
BAYC,CLIP,XGBoost,35206,5746,0.8607673372866076,0.1619430283285367,0.03767299791551415,0.877454171372585,0.7676118465802123,0.1098024081553372,0.017877511493354148,0.7745667336219183
BAYC,CLIP,LightGBM,35206,5746,0.8624233937565536,0.1641779789037111,0.03396653545592576,0.877454171372585,0.7681052535424547,0.11023641062996387,0.016614524692590615,0.7745667336219183
BAYC,SigLIP2,OLS,35206,5746,0.8641640824003153,0.16821781622198112,0.03006297601815222,0.877454171372585,0.7695215272268013,0.11458197908862405,0.012984743563167811,0.7745667336219183
