collection,encoding,family,origin,end,valid,train_n,validation_n,training_min,training_max,training_row_sha256,validation_row_sha256,dimension,transaction_mse,transaction_rmse,equal_token_mse,equal_token_rmse,equal_token_n,seconds,config,status,target_parameters
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.032983047756026396,0.18161235573612936,0.05739492706388795,0.23957238376717788,841,4.939801500004251,"{""alpha"": 0.001, ""l1_ratio"": 0.1}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.032859397525240835,0.18127161257417235,0.05715677895733315,0.2390748396576544,841,1.1000084999832325,"{""alpha"": 0.001, ""l1_ratio"": 0.5}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.032742303126497646,0.18094834380700378,0.05693337863007837,0.23860716382807615,841,0.5451494000153616,"{""alpha"": 0.001, ""l1_ratio"": 0.9}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.03250605885092986,0.18029436721908385,0.056476830692139275,0.23764854447721592,841,0.48175269999774173,"{""alpha"": 0.01, ""l1_ratio"": 0.1}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.03178248152305043,0.1782764188642189,0.055313313537301026,0.23518782608226352,841,0.20573799998965114,"{""alpha"": 0.01, ""l1_ratio"": 0.5}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.03152243091292906,0.17754557418569764,0.05515851327610807,0.234858496282566,841,0.11198410001816228,"{""alpha"": 0.01, ""l1_ratio"": 0.9}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.03127736322400813,0.1768540732468668,0.05534935619037337,0.23526443885630777,841,0.0933900999953039,"{""alpha"": 0.1, ""l1_ratio"": 0.1}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.032986747319530156,0.18162254078040577,0.061468454675613945,0.2479283256822704,841,0.05388700001640245,"{""alpha"": 0.1, ""l1_ratio"": 0.5}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.03404997681622846,0.18452635805279544,0.06510019282001535,0.25514739430379324,841,0.05357350001577288,"{""alpha"": 0.1, ""l1_ratio"": 0.9}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
BAYC,one-hot,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,171,0.034175003337670956,0.1848648245006901,0.06557772850401912,0.25608148801508307,841,0.04347289999714121,"{""alpha"": 1, ""l1_ratio"": 0.1}","{""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}"
