collection,training_transactions,training_tokens,training_min_time,training_max_time
BAYC,35206,5746,2022-01-01 00:03:36+00:00,2024-12-31 23:57:11+00:00
MAYC,95207,9568,2022-01-01 00:14:11+00:00,2024-12-31 20:04:11+00:00
