collection,encoding,family,development_selected,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd,known_equal_token_n_transactions,known_equal_token_n_tokens,known_equal_token_rmse,known_equal_token_mae,known_equal_token_r2,known_equal_token_target_sd,unseen_equal_token_n_transactions,unseen_equal_token_n_tokens,unseen_equal_token_rmse,unseen_equal_token_mae,unseen_equal_token_r2,unseen_equal_token_target_sd
BAYC,one-hot,OLS,False,{},1.3840146620827387,5120,1498,0.2657348045485846,0.12130344516761099,0.30811459441321665,0.3194709364844748,0.2524425248852931,0.10690096391058837,0.14957478693378545,0.2737439007579036,3538,1012,0.29040051375763887,0.11998979408052991,0.29110364486682183,0.3449101767701867,1582,486,0.2050634833884244,0.12403886677280855,0.36331769718356244,0.25699634166343244
BAYC,one-hot,Ridge,False,"{""alpha"": 1000}",1.3838398977285613,5120,1498,0.2679491072877551,0.1219918509316077,0.2965359318199817,0.3194709364844748,0.25311372206805915,0.10706638222570346,0.1450465337297765,0.2737439007579036,3538,1012,0.2927452644630442,0.12067720852471978,0.2796098936200566,0.3449101767701867,1582,486,0.20699349581410256,0.12472933676652667,0.35127667110365346,0.25699634166343244
BAYC,one-hot,ElasticNet,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3838066191209621,5120,1498,0.27211015001378897,0.1231692771901462,0.27451777906614305,0.3194709364844748,0.2543016697878353,0.10715298494009459,0.13700253372582116,0.2737439007579036,3538,1012,0.2967871127372509,0.12173893981099655,0.25958013798436064,0.3449101767701867,1582,486,0.21168650326487806,0.12614767518952774,0.3215271776174332,0.25699634166343244
BAYC,one-hot,PLS,False,"{""components"": 32}",1.384014662082739,5120,1498,0.26573480454858317,0.12130344516761044,0.3081145944132241,0.3194709364844748,0.2524425248852926,0.1069009639105882,0.14957478693378867,0.2737439007579036,3538,1012,0.29040051375763726,0.11998979408052936,0.2911036448668297,0.3449101767701867,1582,486,0.20506348338842345,0.12403886677280818,0.3633176971835683,0.25699634166343244
BAYC,one-hot,LinearSVR,False,"{""C"": 0.01, ""epsilon"": 0.2}",1.383883409087182,5120,1498,0.2670112514628726,0.1216996669813205,0.3014517404974576,0.3194709364844748,0.25283499474434595,0.10685188371869367,0.1469284363223866,0.2737439007579036,3538,1012,0.29166369829616196,0.12038248979342958,0.2849231153960359,0.3449101767701867,1582,486,0.20643653622874056,0.12444243100219622,0.3547630278216808,0.25699634166343244
BAYC,one-hot,HistGradientBoosting,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.3852900326190016,5120,1498,0.27041555344891954,0.1222470030526699,0.28352568683449186,0.3194709364844748,0.2537310447435488,0.10706719446563535,0.1408711317434369,0.2737439007579036,3538,1012,0.29605585914487925,0.12098711500211844,0.26322428316758817,0.3449101767701867,1582,486,0.20707520145850625,0.1248704736435301,0.3507644345378743,0.25699634166343244
BAYC,one-hot,XGBoost,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.3852900329243725,5120,1498,0.27041553917269684,0.12224699833655303,0.28352576248507066,0.3194709364844748,0.2537310406851374,0.10706719278854422,0.14087115922685645,0.2737439007579036,3538,1012,0.2960558446237085,0.12098711100617553,0.2632243554434469,0.3449101767701867,1582,486,0.2070751872255764,0.12487046742779166,0.35076452378587564,0.25699634166343244
BAYC,one-hot,LightGBM,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.385184284291194,5120,1498,0.271115871628355,0.12249304042694449,0.2798098524050239,0.3194709364844748,0.254207804687022,0.10723835131435151,0.1376394968596436,0.2737439007579036,3538,1012,0.29688593637902844,0.12155571978330695,0.2590869685289484,0.3449101767701867,1582,486,0.2074227597387765,0.12444482744620614,0.3485832311882079,0.25699634166343244
BAYC,TF-IDF,OLS,False,{},1.3837716124030137,5120,1498,0.26420520362959055,0.12038735879053301,0.31605681846255684,0.3194709364844748,0.25195392346831125,0.10662097169374311,0.1528635897751397,0.2737439007579036,3538,1012,0.28867605079616093,0.11905335886563997,0.2994978164603006,0.3449101767701867,1582,486,0.20403898505524154,0.1231651528728205,0.36966354238286436,0.25699634166343244
BAYC,TF-IDF,Ridge,True,"{""alpha"": 1000}",1.3836209400597699,5120,1498,0.26642151058975055,0.12146621374699798,0.3045340639035691,0.3194709364844748,0.252755229444784,0.10693521788717711,0.14746661162736452,0.2737439007579036,3538,1012,0.29011482797260946,0.11976702651261233,0.29249773327452777,0.3449101767701867,1582,486,0.2086210770627593,0.1250044390169532,0.34103479395157055,0.25699634166343244
BAYC,TF-IDF,ElasticNet,False,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1.3836508348720182,5120,1498,0.26610158145952556,0.12139119969541615,0.306203345174485,0.3194709364844748,0.2526298939833172,0.1068576341663751,0.14831190509964376,0.2737439007579036,3538,1012,0.28978148807497145,0.1196836381620657,0.2941226295012592,0.3449101767701867,1582,486,0.2083269965390065,0.12494686280601418,0.34289129138177543,0.25699634166343244
BAYC,TF-IDF,PLS,False,"{""components"": 8}",1.3837066268046412,5120,1498,0.26462189231606087,0.12110477841366077,0.3138977684686616,0.3194709364844748,0.25222919485544754,0.10688042455282805,0.15101150667750585,0.2737439007579036,3538,1012,0.2885366780245847,0.11951083144738951,0.30017405795968066,0.3449101767701867,1582,486,0.206103443040774,0.1244238613969252,0.35684357664245747,0.25699634166343244
BAYC,TF-IDF,LinearSVR,False,"{""C"": 0.01, ""epsilon"": 0.2}",1.3836230845277993,5120,1498,0.26598346445592064,0.12142470816654374,0.3068191325272237,0.3194709364844748,0.252633218066456,0.10679367427558695,0.14828949206992115,0.2737439007579036,3538,1012,0.2897117917601813,0.11974860247485851,0.2944621345225812,0.3449101767701867,1582,486,0.20806374303684277,0.1249148706356497,0.3445509598287666,0.25699634166343244
