collection,sample,baseline,constant_prediction,equal_token_n_transactions,equal_token_n_tokens,equal_token_rmse,equal_token_mae,equal_token_r2,equal_token_target_sd,transaction_rmse,transaction_mae,transaction_r2,transaction_target_sd
BAYC,training_2022_2024,LRP_zero,0.0,35206,5746,0.8784607134643608,0.1936836226944849,-0.002295548725201657,0.877454171372585,0.7750883006921888,0.1264950264806943,-0.0013471858535751835,0.7745667336219183
BAYC,training_2022_2024,training_transaction_asinh_mean,-0.01624862379964365,35206,5746,0.8793881070793761,0.19605385845330098,-0.004412918637903829,0.877454171372585,0.7746625097181025,0.12480313654586747,-0.0002473176640320762,0.7745667336219183
BAYC,evaluation_2025_plus,LRP_zero,0.0,5120,1498,0.3217310277128561,0.14222110736558977,-0.014199011278622331,0.3194709364844748,0.27374421755215844,0.11797548679860506,-2.31453148180627e-06,0.2737439007579036
BAYC,evaluation_2025_plus,training_transaction_asinh_mean,-0.01624862379964365,5120,1498,0.3240555171209535,0.14158298951868017,-0.028907019164318593,0.3194709364844748,0.2742507033839501,0.11534553681547996,-0.003706177675621758,0.2737439007579036
MAYC,training_2022_2024,LRP_zero,0.0,95207,9568,0.7438489857257207,0.1944082742617262,-0.003622314413532557,0.7425054073221995,0.5539573620677667,0.12127474164085203,-0.001601853083904814,0.5535142152344569
MAYC,training_2022_2024,training_transaction_asinh_mean,-0.021659151217918254,95207,9568,0.7454637808807727,0.19828028504719453,-0.007984499699750458,0.7425054073221995,0.5535144358866227,0.11807080407552858,-7.972774820341755e-07,0.5535142152344569
MAYC,evaluation_2025_plus,LRP_zero,0.0,13019,2492,0.24563015029714408,0.1406992577191264,-0.017290593904209173,0.24353375185129997,0.19119015865646155,0.10957506621559503,-0.0003517620912010244,0.19115654080030414
MAYC,evaluation_2025_plus,training_transaction_asinh_mean,-0.021659151217918254,13019,2492,0.24938018820999194,0.1403551632611163,-0.04858967655382984,0.24353375185129997,0.1920090901913994,0.10669431595998555,-0.008939799319227948,0.19115654080030414
